"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2022","410.50","416.95","417.75","408.00","12.34M","-1.79%"
"12/19/2022","418.00","421.90","422.85","415.50","9.81M","-0.85%"
"12/16/2022","421.60","417.35","427.80","413.10","50.95M","1.18%"
"12/15/2022","416.70","418.85","422.80","415.70","7.54M","-0.29%"
"12/14/2022","417.90","420.55","421.35","417.35","6.31M","-0.14%"
"12/13/2022","418.50","419.95","421.50","417.25","9.72M","1.05%"
"12/12/2022","414.15","412.00","416.90","408.00","8.01M","0.21%"
"12/09/2022","413.30","419.30","420.95","409.55","9.92M","-0.93%"
"12/08/2022","417.20","421.00","421.40","415.35","9.54M","-0.69%"
"12/07/2022","420.10","428.00","428.00","419.10","12.13M","-1.64%"
"12/06/2022","427.10","428.80","431.35","425.35","8.46M","-0.38%"
"12/05/2022","428.75","435.50","437.50","427.80","12.86M","-1.53%"
"12/02/2022","435.40","439.00","441.15","435.00","8.35M","-0.65%"
"12/01/2022","438.25","443.00","443.60","436.85","8.91M","-0.26%"
"11/30/2022","439.40","435.00","441.00","433.30","14.73M","1.44%"
"11/29/2022","433.15","432.50","437.90","429.55","8.63M","-0.02%"
"11/28/2022","433.25","435.00","440.35","432.40","10.70M","0.01%"
"11/25/2022","433.20","425.00","435.15","424.00","18.76M","2.31%"
"11/24/2022","423.40","424.50","425.25","420.70","6.77M","-0.15%"
"11/23/2022","424.05","426.85","429.30","422.85","6.57M","-0.15%"
"11/22/2022","424.70","421.00","426.40","420.50","6.41M","0.85%"
"11/21/2022","421.10","425.60","427.60","420.00","9.50M","-0.64%"
"11/18/2022","423.80","424.00","426.45","421.15","9.85M","0.15%"
"11/17/2022","423.15","422.00","427.55","419.60","15.62M","-1.95%"
"11/16/2022","431.55","436.95","438.20","429.60","8.21M","-1.28%"
"11/15/2022","437.15","434.90","438.50","434.10","10.70M","0.80%"
"11/14/2022","433.70","424.00","437.70","423.50","18.00M","2.41%"
"11/11/2022","423.50","420.00","425.50","414.70","19.30M","2.74%"
"11/10/2022","412.20","420.50","420.55","409.20","26.25M","-4.84%"
"11/09/2022","433.15","439.20","441.20","432.00","14.47M","-0.43%"
"11/07/2022","435.00","428.25","437.50","428.25","15.06M","2.27%"
"11/04/2022","425.35","418.20","426.00","416.90","12.28M","2.19%"
"11/03/2022","416.25","419.40","423.30","414.50","10.99M","-1.40%"
"11/02/2022","422.15","423.05","425.10","420.15","12.43M","0.19%"
"11/01/2022","421.35","414.90","422.40","412.80","17.32M","2.08%"
"10/31/2022","412.75","414.35","416.30","411.60","9.93M","0.70%"
"10/28/2022","409.90","408.00","411.20","406.10","12.49M","0.54%"
"10/27/2022","407.70","408.55","411.70","404.00","14.61M","0.78%"
"10/25/2022","404.55","404.35","410.50","403.20","17.98M","0.73%"
"10/24/2022","401.60","406.00","406.00","400.15","2.87M","0.89%"
"10/21/2022","398.05","397.00","402.25","394.70","10.28M","-0.01%"
"10/20/2022","398.10","397.00","399.90","393.10","10.75M","-0.24%"
